#file,rigging_db.csv
version,rev56
id,section,en,it,es,vanguard,victory,agamemnon,bounty,diana
1,BOWSPRIT,BOWSPRIT — Woolding,BOMPRESSO — Cerchiatura/legatura del bompresso,BAUPRÉS — Ligadura del bauprés,,28.30,24.26,16.17,24.26
2,BOWSPRIT,BOWSPRIT — Gammonings,BOMPRESSO — Legature (gammoning) del bompresso,BAUPRÉS — Trincas del bauprés,,64.68,56.60,36.38,48.51
3,BOWSPRIT,"BOWSPRIT — Shrouds, fine",BOMPRESSO — Briglie/sartie del bompresso,BAUPRÉS — Obenques del bauprés,,64.68,60.64,36.38,48.51
4,BOWSPRIT,"BOWSPRIT — Bobstays, cabled fine",BOMPRESSO — Stragli inferiori del bompresso (bobstays),BAUPRÉS — Barbiquejos del bauprés,,68.72,64.68,40.43,56.60
5,SPRITSAIL,SPRITSAIL — Braces,CIVADA — Bracci del pennone di civada,CEBADERA — Brazas de la verga cebadera,,28.30,24.26,20.21,20.21
6,SPRITSAIL,SPRITSAIL — Lifts,CIVADA — Amantigli del pennone di civada,CEBADERA — Amantillos de la verga cebadera,,36.38,24.26,16.17,20.21
7,SPRITSAIL,SPRITSAIL — Halliard,CIVADA — Drizza del pennone di civada,CEBADERA — Driza de la verga cebadera,,44.47,24.26,16.17,20.21
8,SPRITSAIL,SPRITSAIL — Clew-lines,CIVADA — Imbrogli della civada,CEBADERA — Chafaldetes de la cebadera,,36.38,20.21,12.13,16.17
9,SPRITSAIL,SPRITSAIL — Buntlines,CIVADA — Caricaboline della civada,CEBADERA — Cargaderas de la cebadera,,24.26,16.17,8.09,16.17
10,SPRITSAIL,"SPRITSAIL — Sheets, cabled single",CIVADA — Scotte della civada,CEBADERA — Escotas de la cebadera,,44.47,36.38,24.26,28.30
11,FORE MAST,"FORE MAST — Shrouds, cabled fine",ALBERO DI TRINCHETTO — Sartie di trinchetto,PALO TRINQUETE — Obenques del trinquete,,88.94,84.89,56.60,72.77
12,FORE MAST,FORE MAST — Ratling,ALBERO DI TRINCHETTO — Griselle di trinchetto,PALO TRINQUETE — Flechastes del trinquete,,8.09,12.13,12.13,12.13
13,FORE MAST,"FORE MAST — Stay, cabled fine 4 strands",ALBERO DI TRINCHETTO — Strallo di trinchetto,PALO TRINQUETE — Estay del trinquete,,145.53,129.36,76.81,105.11
14,FORE MAST,"FORE MAST — Preventer stay, cabled 4 strands fine",ALBERO DI TRINCHETTO — Controstrallo di trinchetto,PALO TRINQUETE — Contraestay del trinquete,,121.28,84.89,48.51,68.72
15,FORE MAST,FORE MAST — Catharpin legs,ALBERO DI TRINCHETTO — Catarpine di trinchetto,PALO TRINQUETE — Catarpinas del trinquete,,56.60,52.55,28.30,40.43
16,FORE MAST,FORE MAST — Jeers — tye,ALBERO DI TRINCHETTO — Jeers/drizza del pennone di trinchetto,PALO TRINQUETE — Aparejo de izado de la verga de trinquete,,64.68,52.55,0,44.47
17,FORE MAST,FORE MAST — Yard tackle pendants,ALBERO DI TRINCHETTO — Pendenti dei paranchi del pennone di trinchetto,PALO TRINQUETE — Pendientes de aparejos de la verga de trinquete,,56.60,52.55,36.38,44.47
18,FORE MAST,FORE MAST — Braces,ALBERO DI TRINCHETTO — Bracci del pennone di trinchetto,PALO TRINQUETE — Brazas de la verga de trinquete,,36.38,32.34,28.30,28.30
19,FORE MAST,FORE MAST — Brace pendants,ALBERO DI TRINCHETTO — Pendenti dei bracci di trinchetto,PALO TRINQUETE — Pendientes de las brazas de trinquete,,44.47,40.43,28.30,36.38
20,FORE TOPMAST,FORE TOPMAST — Burton pendants,ALBERETTO DI PARROCCHETTO — Pendenti Burton di parrocchetto,MASTELERO DE VELACHO DE PROA — Pendientes Burton del mastelero de proa,,44.47,40.43,40.43,32.34
